000 0 0  # FORMATION 0: 
001 0 0  # FORMATION 1: Repo_Man__ Sewer_Rat_ Sewer_Rat_
002 0 0  # FORMATION 2: Sewer_Rat_ Sewer_Rat_ Sewer_Rat_
003 0 0  # FORMATION 3: Repo_Man__ Repo_Man__
004 0 0  # FORMATION 4: 
005 0 1  # FORMATION 5: Raven_____ Leafer____ Leafer____
006 0 1  # FORMATION 6: Raven_____ Raven_____ Raven_____
007 0 1  # FORMATION 7: Leafer____ Leafer____
008 0 1  # FORMATION 8: Sand_Ray__ Antlion___ Antlion___
009 0 1  # FORMATION 9: Antlion___ Antlion___ Antlion___
010 0 1  # FORMATION a: Sand_Ray__ Sand_Ray__
011 0 0  # FORMATION b: 
012 0 1  # FORMATION c: Hornet____ Hornet____ Crawler___ Crawler___
013 0 1  # FORMATION d: Eye_Goo___ Crawler___ Crawler___
014 0 1  # FORMATION e: Hornet____ Eye_Goo___ Eye_Goo___
015 0 0  # FORMATION f: 
016 0 1  # FORMATION 10: Rhyhorn___ Rhyhorn___
017 0 1  # FORMATION 11: Rhyhorn___ Foamy_____ Foamy_____
018 0 1  # FORMATION 12: Mechanix__ Mechanix__ Mechanix__ Mechanix__
019 0 1  # FORMATION 13: Foamy_____ Mechanix__ Mechanix__
020 0 1  # FORMATION 14: Foamy_____ Foamy_____ Foamy_____ Foamy_____
021 0 1  # FORMATION 15: Scrapper__ Vaporite__ Vaporite__
022 0 1  # FORMATION 16: Tusker____ Tusker____
023 0 1  # FORMATION 17: Scrapper__ Scrapper__
024 0 1  # FORMATION 18: Condor____ Condor____ Condor____
025 0 1  # FORMATION 19: Trillium__ Trillium__
026 0 1  # FORMATION 1a: Tusker____ Trillium__ Condor____
027 0 1  # FORMATION 1b: Albatross_ Exocite___ Exocite___
028 4 1  # FORMATION 1c: Albatross_ Exocite___ Nautiloid_
029 4 1  # FORMATION 1d: Exocite___ Nautiloid_ Nautiloid_
030 0 1  # FORMATION 1e: Albatross_ Albatross_
031 0 0  # FORMATION 1f: 
032 0 0  # FORMATION 20: Officer___ Officer___ Officer___
033 0 0  # FORMATION 21: Doberman__ Doberman__ Doberman__
034 0 0  # FORMATION 22: Doberman__ Doberman__ Officer___
035 0 1  # FORMATION 23: Stray_Cat_ Stray_Cat_ Stray_Cat_
036 0 1  # FORMATION 24: Trilobite_ Trilobite_ Primordite
037 0 1  # FORMATION 25: Primordite Primordite
038 0 1  # FORMATION 26: Bear______ Trilobite_
039 0 1  # FORMATION 27: Stray_Cat_ Stray_Cat_ Stray_Cat_ Stray_Cat_
040 0 1  # FORMATION 28: Rabite____ Rabite____ Rabite____ Rabite____ Rabite____
041 0 1  # FORMATION 29: Beakor____ Rabite____ Rabite____
042 0 1  # FORMATION 2a: Beakor____ Cricket___ Stray_Cat_
043 0 1  # FORMATION 2b: Cricket___ Cricket___ Stray_Cat_ Stray_Cat_
044 0 1  # FORMATION 2c: Cricket___ Cricket___ Cricket___
045 0 0  # FORMATION 2d: Tek_Armor_ Soldier___ Soldier___
046 0 0  # FORMATION 2e: Tek_Armor_
047 0 0  # FORMATION 2f: Tek_Armor_ Tek_Armor_
048 0 0  # FORMATION 30: Wight_____ Ectoplasm_ Ectoplasm_
049 0 0  # FORMATION 31: Wight_____ Wight_____ Ectoplasm_ Ectoplasm_ Ectoplasm_
050 0 0  # FORMATION 32: Spirit____ Spirit____ Spirit____ Spirit____
051 0 0  # FORMATION 33: 
052 0 0  # FORMATION 34: Bomb______ Bomb______ Bomb______
053 0 0  # FORMATION 35: 
054 0 0  # FORMATION 36: Conjurer__ Bomb______ Bomb______ Conjurer__
055 0 0  # FORMATION 37: 
056 0 0  # FORMATION 38: Lich______ Lich______
057 0 0  # FORMATION 39: Lich______ Zombie____ Zombie____
058 0 0  # FORMATION 3a: 
059 0 0  # FORMATION 3b: Zombie____ Conjurer__ Conjurer__
060 0 0  # FORMATION 3c: Spirit____ Spirit____ Conjurer__
061 0 0  # FORMATION 3d: Clawglip__ Repo_Man__ Repo_Man__ Repo_Man__
062 0 0  # FORMATION 3e: Mammoth___ Mammoth___
063 0 0  # FORMATION 3f: Mammoth___ Repo_Man__ Clawglip__
064 0 1  # FORMATION 40: Red_Wolf__ Red_Wolf__
065 0 1  # FORMATION 41: Buzzard___ Buzzard___
066 0 1  # FORMATION 42: Red_Wolf__ Buzzard___
067 0 1  # FORMATION 43: Mandrake__ Buzzard___ Fighter___
068 0 1  # FORMATION 44: Fighter___ Fighter___ Wasp______ Wasp______
069 0 1  # FORMATION 45: Mandrake__ Mandrake__ Wasp______ Wasp______ Wasp______
070 0 0  # FORMATION 46: Hobo______ Junkie____ Junkie____
071 0 0  # FORMATION 47: Junkie____ Junkie____ Junkie____ Junkie____
072 0 0  # FORMATION 48: Giant_____
073 0 0  # FORMATION 49: Slamdancer Slamdancer
074 0 0  # FORMATION 4a: Hobo______ Hobo______ Slamdancer
075 0 0  # FORMATION 4b: Slamdancer Junkie____ Junkie____ Junkie____
076 0 1  # FORMATION 4c: Wasp______ Wasp______ Wasp______
077 0 1  # FORMATION 4d: Fossilfang
078 0 1  # FORMATION 4e: Wasp______ Wasp______ Wasp______ Wasp______ Wasp______ Wasp______
079 0 1  # FORMATION 4f: Fossilfang Fossilfang
080 0 1  # FORMATION 50: Rain_Man__ Doggo_____ Doggo_____
081 0 1  # FORMATION 51: Dragonfly_ Wyvern____ Rain_Man__
082 0 1  # FORMATION 52: Wyvern____ Wyvern____ Doggo_____
083 0 1  # FORMATION 53: Doggo_____ Chickenlip Chickenlip
084 0 1  # FORMATION 54: Chickenlip Chickenlip Chickenlip Chickenlip Chickenlip
085 0 1  # FORMATION 55: Dragonfly_ Dragonfly_ Chickenlip Chickenlip
086 0 1  # FORMATION 56: Dragonfly_ Dragonfly_ Dragonfly_
087 0 0  # FORMATION 57: 
088 0 0  # FORMATION 58: Foxhound__ Foxhound__ Commando__
089 0 0  # FORMATION 59: Templar___ Commando__ Commando__
090 0 0  # FORMATION 5a: Proto_Man_ Proto_Man_
091 0 0  # FORMATION 5b: Onion_Kid_ Onion_Kid_ Onion_Kid_ Onion_Kid_ Onion_Kid_
092 0 0  # FORMATION 5c: Proto_Man_ Onion_Kid_ Onion_Kid_
093 0 0  # FORMATION 5d: 
094 0 0  # FORMATION 5e: Templar___ Flan______ Flan______
095 0 0  # FORMATION 5f: Flan______ Flan______ Flan______ Flan______
096 0 0  # FORMATION 60: Templar___ Templar___
097 0 0  # FORMATION 61: 
098 0 0  # FORMATION 62: 
099 0 0  # FORMATION 63: Cyborg____ Cyborg____ Cyborg____
100 0 0  # FORMATION 64: Vulture___ Vulture___ Rhydon____
101 0 0  # FORMATION 65: Rhydon____ Rhydon____
102 0 0  # FORMATION 66: Chaser____ Cyborg____ Cyborg____ Cyborg____
103 0 0  # FORMATION 67: Chaser____ Onion_Kid_ Onion_Kid_ Onion_Kid_
104 0 0  # FORMATION 68: Specter___ Specter___ Specter___ Specter___
105 0 0  # FORMATION 69: Specter___ Specter___ Wraith____
106 0 0  # FORMATION 6a: Wraith____ Scorpion__ Scorpion__
107 0 0  # FORMATION 6b: Jinn______ Scorpion__ Scorpion__
108 0 0  # FORMATION 6c: Jinn______ Jinn______ Zombone___
109 0 0  # FORMATION 6d: 
110 0 0  # FORMATION 6e: Zombone___ Zombone___
111 0 0  # FORMATION 6f: 
112 0 1  # FORMATION 70: Adamantite Adamantite
113 0 0  # FORMATION 71: 
114 0 0  # FORMATION 72: 
115 0 1  # FORMATION 73: Adamantite Cephalid__ Cephalid__
116 0 0  # FORMATION 74: 
117 0 0  # FORMATION 75: 
118 0 1  # FORMATION 76: Chimera___
119 0 1  # FORMATION 77: Cephalid__ Cephalid__ Cephalid__
120 0 1  # FORMATION 78: Adamantoid Adamantoid
121 0 1  # FORMATION 79: Adamantoid Slurm_____ Slurm_____
122 0 1  # FORMATION 7a: Slurm_____ Slurm_____ Slurm_____ Slurm_____ Slurm_____
123 0 1  # FORMATION 7b: Locust____ Locust____ Kudzu_____
124 0 1  # FORMATION 7c: Kudzu_____ Kudzu_____
125 0 1  # FORMATION 7d: Racer_____ Racer_____
126 0 1  # FORMATION 7e: Racer_____ Locust____ Slurm_____
127 0 0  # FORMATION 7f: Behemoth__ Behemoth__
128 0 0  # FORMATION 80: Gargoyle__ Brainpan__ Brainpan__
129 0 0  # FORMATION 81: Dactyl____ Gargoyle__ Gargoyle__
130 0 0  # FORMATION 82: Dactyl____ Dactyl____ Ninja_____
131 0 0  # FORMATION 83: Behemoth__ Dactyl____ Djinni____
132 0 0  # FORMATION 84: Ninja_____ Ninja_____
133 0 0  # FORMATION 85: Ninja_____ Djinni____ Brainpan__
134 0 0  # FORMATION 86: Djinni____ Djinni____ Djinni____
135 0 0  # FORMATION 87: 
136 3 1  # FORMATION 88: Rocky_____ Rocky_____ Rocky_____
137 0 0  # FORMATION 89: 
138 3 1  # FORMATION 8a: Lunaris___ Lunaris___
139 3 1  # FORMATION 8b: Lunaris___ Osprey____
140 3 1  # FORMATION 8c: Mesosaur__ Mesosaur__ Mesosaur__ Mesosaur__
141 3 1  # FORMATION 8d: Komodo____ Beetle____ Beetle____
142 3 1  # FORMATION 8e: Plantpire_ Plantpire_ Komodo____ Komodo____
143 3 1  # FORMATION 8f: Plantpire_ Osprey____ Beetle____
144 3 1  # FORMATION 90: Beetle____ Beetle____ Beetle____ Beetle____
145 3 1  # FORMATION 91: Buffalax__ Beetle____ Beetle____
146 3 1  # FORMATION 92: Buffalax__ Buffalax__
147 3 1  # FORMATION 93: Sand_Worm_
148 3 0  # FORMATION 94: Reaper____
149 3 0  # FORMATION 95: Werewolf__ Nastidon__
150 3 0  # FORMATION 96: Werewolf__ Werewolf__
151 3 0  # FORMATION 97: Nastidon__ Nastidon__
152 3 1  # FORMATION 98: Latimeria_ Dark_Hare_ Dark_Hare_ Dark_Hare_
153 3 1  # FORMATION 99: Latimeria_ Latimeria_
154 3 1  # FORMATION 9a: Chupacabra Chupacabra
155 3 1  # FORMATION 9b: Chupacabra Puff_Goo__ Puff_Goo__
156 3 1  # FORMATION 9c: Tofu______ Tofu______ Puff_Goo__ Puff_Goo__
157 3 1  # FORMATION 9d: Tofu______ Tofu______ Tofu______ Tofu______ Tofu______
158 3 1  # FORMATION 9e: Leap_Frog_ Leap_Frog_ Leap_Frog_ Leap_Frog_
159 3 1  # FORMATION 9f: Frogger___ Leap_Frog_ Frogger___ Leap_Frog_
160 3 1  # FORMATION a0: Frogger___ Frogger___ Frogger___ Frogger___
161 3 1  # FORMATION a1: Mantodea__ Mantodea__
162 0 0  # FORMATION a2: 
163 3 1  # FORMATION a3: Windrunner Mantodea__
164 0 0  # FORMATION a4: 
165 3 1  # FORMATION a5: Windrunner Tumbleweed Tumbleweed
166 0 0  # FORMATION a6: 
167 3 1  # FORMATION a7: Tumbleweed Tumbleweed Tumbleweed Tumbleweed
168 3 1  # FORMATION a8: Griffin___
169 0 0  # FORMATION a9: 
170 3 1  # FORMATION aa: Griffin___ Troll_____ Troll_____
171 0 0  # FORMATION ab: 
172 3 1  # FORMATION ac: Tyrano____ Tyrano____
173 0 0  # FORMATION ad: 
174 3 1  # FORMATION ae: Tyrano____ Troll_____ Troll_____ Troll_____
175 3 1  # FORMATION af: Zone_Eater
176 3 0  # FORMATION b0: Osteosaur_
177 3 1  # FORMATION b1: Cave_Stuff Cave_Stuff Drifter___
178 3 1  # FORMATION b2: Cave_Stuff Humpty____ Humpty____
179 3 1  # FORMATION b3: Drifter___ Drifter___ Humpty____
180 3 1  # FORMATION b4: Titan_____
181 3 1  # FORMATION b5: Humpty____ Humpty____ Humpty____ Humpty____
182 3 1  # FORMATION b6: Robot_____ Robot_____ Robot_____
183 0 0  # FORMATION b7: 
184 3 0  # FORMATION b8: Mudcrab___ Mudcrab___
185 3 0  # FORMATION b9: Mudcrab___ Mudcrab___ Mudcrab___
186 0 0  # FORMATION ba: 
187 3 0  # FORMATION bb: Shokan____ Shokan____
188 3 0  # FORMATION bc: Powerslave Powerslave
189 3 0  # FORMATION bd: Powerslave Marlboro__
190 3 0  # FORMATION be: Powerslave Shokan____ Belladonna
191 3 0  # FORMATION bf: Marlboro__ Belladonna Belladonna
192 0 0  # FORMATION c0: 
193 0 0  # FORMATION c1: 
194 0 0  # FORMATION c2: 
195 3 1  # FORMATION c3: Vagrant___ Vagrant___
196 3 1  # FORMATION c4: Grizzly___ Brawler___ Brawler___
197 3 1  # FORMATION c5: Vagrant___ Brawler___ Scarab____
198 0 0  # FORMATION c6: 
199 3 1  # FORMATION c7: Grizzly___ Scarab____ Scarab____
200 3 1  # FORMATION c8: Manticore_
201 3 1  # FORMATION c9: Basilisk__ Cluck_____ Cluck_____ Cluck_____
202 3 1  # FORMATION ca: Gold_Bear_ Gold_Bear_
203 3 1  # FORMATION cb: Gold_Bear_ Cluck_____ Cluck_____
204 3 0  # FORMATION cc: Souldancer Wild_Cat__ Wild_Cat__ Wild_Cat__
205 3 0  # FORMATION cd: Souldancer Souldancer Cockatrice
206 3 0  # FORMATION ce: Atlasphere Atlasphere Wild_Cat__ Wild_Cat__
207 3 0  # FORMATION cf: Atlasphere Atlasphere Cockatrice Cockatrice Cockatrice
208 3 0  # FORMATION d0: Roc_______
209 3 0  # FORMATION d1: Witch_____ Mu________ Mu________
210 3 0  # FORMATION d2: Witch_____ Witch_____ Revenant__ Revenant__
211 3 0  # FORMATION d3: Umbro_____ Witch_____ Witch_____
212 3 0  # FORMATION d4: Revenant__ Umbro_____ Mu________
213 3 0  # FORMATION d5: Weedula___ Anemone___ Anemone___ Anemone___
214 3 0  # FORMATION d6: Anemone___ Anemone___ Anemone___ Anemone___ Anemone___
215 3 0  # FORMATION d7: Umbro_____ Weedula___ Weedula___
216 3 1  # FORMATION d8: Necrosaur_
217 3 1  # FORMATION d9: Sand_Devil Sand_Devil
218 3 1  # FORMATION da: Necrosaur_ Sand_Devil
219 3 1  # FORMATION db: Necrosaur_ Necrosaur_
220 3 0  # FORMATION dc: Hot_Wheels Low_Rider_ Low_Rider_ Low_Rider_
221 3 0  # FORMATION dd: Low_Rider_ Low_Rider_ Warlock___ Warlock___
222 3 0  # FORMATION de: Warlock___ Warlock___ Fuzzy_____ Fuzzy_____ Fuzzy_____
223 3 0  # FORMATION df: Fuzzy_____ Fuzzy_____ Fuzzy_____ Fuzzy_____ Fuzzy_____ Fuzzy_____
224 3 0  # FORMATION e0: Hoodwink__ Tiny_Tim__ Tiny_Tim__ Tiny_Tim__
225 3 0  # FORMATION e1: Hermit____ Hermit____ Nutkin____ Nutkin____
226 3 0  # FORMATION e2: Rhyperior_ Nutkin____ Nutkin____
227 3 0  # FORMATION e3: Rhyperior_ Hoodwink__ Tiny_Tim__
228 3 0  # FORMATION e4: Wart_Puck_ Tarokan___
229 3 0  # FORMATION e5: Tapdancer_ Tapdancer_ Shinobi___
230 3 0  # FORMATION e6: O_Bake____ O_Bake____ Wart_Puck_
231 3 0  # FORMATION e7: Shinobi___ O_Bake____ Tarokan___
232 3 1  # FORMATION e8: Opinicus__ Sea_Devil_
233 3 1  # FORMATION e9: Dumpty____ Dumpty____ Wizard____ Wizard____
234 3 1  # FORMATION ea: Black_Bear Black_Bear
235 3 1  # FORMATION eb: Opinicus__ Black_Bear Wizard____
236 3 0  # FORMATION ec: Succubus__ Succubus__
237 3 0  # FORMATION ed: Pan_Dora__ Pan_Dora__ Eukaryote_ Eukaryote_ Eukaryote_
