バ 0020
ば 0021
ビ 0022
び 0023
ブ 0024
ぶ 0025
ベ 0026
べ 0027
ボ 0028
ぼ 0029
ガ 002a
が 002b
ギ 002c
ぎ 002d
グ 002e
ぐ 002f
ゲ 0030
げ 0031
ゴ 0032
ご 0033
ザ 0034
ざ 0035
ジ 0036
じ 0037
ズ 0038
ず 0039
ゼ 003a
ぜ 003b
ゾ 003c
ぞ 003d
ダ 003e
だ 003f
ヂ 0040
ぢ 0041
ヅ 0042
づ 0043
デ 0044
で 0045
ド 0046
ど 0047
ヴ 0048
パ 0049
ぱ 004a
ピ 004b
ぴ 004c
プ 004d
ぷ 004e
ペ 004f
ぺ 0050
ポ 0051
ぽ 0052
０ 0053
１ 0054
２ 0055
３ 0056
４ 0057
５ 0058
６ 0059
７ 005a
８ 005b
９ 005c
ｍ 005d
ｈ 005e
ｐ 005f
ハ 0060
は 0061
ヒ 0062
ひ 0063
フ 0064
ふ 0065
ヘ 0066
へ 0067
ホ 0068
ほ 0069
カ 006a
か 006b
キ 006c
き 006d
ク 006e
く 006f
ケ 0070
け 0071
コ 0072
こ 0073
サ 0074
さ 0075
シ 0076
し 0077
ス 0078
す 0079
セ 007a
せ 007b
ソ 007c
そ 007d
タ 007e
た 007f
チ 0080
ち 0081
ツ 0082
つ 0083
テ 0084
て 0085
ト 0086
と 0087
ウ 0088
う 0089
ア 008a
あ 008b
イ 008c
い 008d
エ 008e
え 008f
オ 0090
お 0091
ナ 0092
な 0093
ニ 0094
に 0095
ヌ 0096
ぬ 0097
ネ 0098
ね 0099
ノ 009a
の 009b
マ 009c
ま 009d
ミ 009e
み 009f
ム 00a0
む 00a1
メ 00a2
め 00a3
モ 00a4
も 00a5
ラ 00a6
ら 00a7
リ 00a8
り 00a9
ル 00aa
る 00ab
レ 00ac
れ 00ad
ロ 00ae
ろ 00af
ヤ 00b0
や 00b1
ユ 00b2
ゆ 00b3
ヨ 00b4
よ 00b5
ワ 00b6
わ 00b7
ン 00b8
ん 00b9
ヲ 00ba
を 00bb
ッ 00bc
っ 00bd
ャ 00be
ゃ 00bf
ュ 00c0
ゅ 00c1
ョ 00c2
ょ 00c3
ァ 00c4
ー 00c5
ィ 00c6
… 00c7
ゥ 00c8
! 00c9
ェ 00ca
? 00cb
ォ 00cc
、 00cd
/ 00ce
: 00cf
「 00d0
」 00d1
。 00d2
+ 00d3
↑ 00d4
→ 00d5
× 00d7
・ 00e0
世 1c00
見 1c01
言 1c02
導 1c03
兵 1c04
来 1c05
今 1c06
子 1c07
眠 1c08
否 1c09
奏 1c0a
即 1c0b
英 1c0c
渦 1c0d
常 1c0e
門 1c0f
思 1c10
軍 1c11
村 1c12
知 1c13
聞 1c14
様 1c15
町 1c16
話 1c17
家 1c18
所 1c19
女 1c1a
城 1c1b
合 1c1c
将 1c1d
老 1c1e
日 1c1f
逃 1c20
待 1c21
本 1c22
目 1c23
込 1c24
名 1c25
年 1c26
最 1c27
助 1c28
当 1c29
説 1c2a
配 1c2b
娘 1c2c
度 1c2d
父 1c2e
開 1c2f
違 1c30
場 1c31
向 1c32
険 1c33
会 1c34
男 1c35
通 1c36
昔 1c37
立 1c38
歌 1c39
好 1c3a
危 1c3b
返 1c3c
誰 1c3d
残 1c3e
悪 1c3f
三 1c40
伝 1c41
貴 1c42
結 1c43
研 1c44
考 1c45
皆 1c46
屋 1c47
機 1c48
北 1c49
帰 1c4a
呼 1c4b
親 1c4c
船 1c4d
争 1c4e
近 1c4f
君 1c50
宝 1c51
壁 1c52
平 1c53
戻 1c54
乗 1c55
封 1c56
金 1c57
街 1c58
明 1c59
少 1c5a
住 1c5b
紙 1c5c
東 1c5d
兄 1c5e
部 1c5f
和 1c60
強 1c61
艇 1c62
始 1c63
感 1c64
取 1c65
作 1c66
意 1c67
早 1c68
信 1c69
内 1c6a
族 1c6b
決 1c6c
陸 1c6d
運 1c6e
切 1c6f
原 1c70
商 1c71
土 1c72
殿 1c73
山 1c74
別 1c75
都 1c76
止 1c77
口 1c78
夫 1c79
情 1c7a
面 1c7b
関 1c7c
得 1c7d
官 1c7e
供 1c7f
丈 1c80
望 1c81
安 1c82
組 1c83
裏 1c84
南 1c85
恐 1c86
多 1c87
支 1c88
直 1c89
壊 1c8a
島 1c8b
幸 1c8c
師 1c8d
砂 1c8e
市 1c8f
番 1c90
役 1c91
勝 1c92
械 1c93
書 1c94
顔 1c95
拓 1c96
捕 1c97
血 1c98
選 1c99
若 1c9a
食 1c9b
計 1c9c
高 1c9d
抜 1c9e
失 1c9f
優 1ca0
港 1ca1
息 1ca2
苦 1ca3
他 1ca4
足 1ca5
休 1ca6
急 1ca7
協 1ca8
川 1ca9
突 1caa
利 1cab
酒 1cac
品 1cad
許 1cae
二 1caf
氷 1cb0
勢 1cb1
然 1cb2
弟 1cb3
漠 1cb4
葉 1cb5
塔 1cb6
表 1cb7
姿 1cb8
付 1cb9
派 1cba
希 1cbb
要 1cbc
彼 1cbd
邪 1cbe
頭 1cbf
終 1cc0
教 1cc1
文 1cc2
芝 1cc3
案 1cc4
居 1cc5
忘 1cc6
像 1cc7
密 1cc8
洞 1cc9
由 1cca
窟 1ccb
西 1ccc
隊 1ccd
声 1cce
画 1ccf
着 1cd0
簡 1cd1
代 1cd2
母 1cd3
旅 1cd4
階 1cd5
欲 1cd6
初 1cd7
的 1cd8
負 1cd9
格 1cda
小 1cdb
盟 1cdc
報 1cdd
蛇 1cde
第 1cdf
炭 1ce0
共 1ce1
客 1ce2
犬 1ce3
新 1ce4
憶 1ce5
劇 1ce6
悲 1ce7
係 1ce8
音 1ce9
注 1cea
迷 1ceb
増 1cec
主 1ced
遠 1cee
冒 1cef
脈 1cf0
送 1cf1
台 1cf2
久 1cf3
片 1cf4
集 1cf5
起 1cf6
令 1cf7
薬 1cf8
願 1cf9
坑 1cfa
有 1cfb
売 1cfc
記 1cfd
約 1cfe
束 1cff
走 1d00
扉 1d01
臣 1d02
解 1d03
術 1d04
掘 1d05
野 1d06
活 1d07
毎 1d08
群 1d09
民 1d0a
魂 1d0b
正 1d0c
逆 1d0d
過 1d0e
